16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.00,0.00,1	
86,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.00,0.00,2	
201,1.51508,15.15,0.00,2.25,73.50,0.00,8.34,0.63,0.00,7					
17,1.51784,12.68,3.67,1.16,73.11,0.61,8.70,0.00,0.00,1	
87,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.00,0.00,2	
202,1.51653,11.95,0.00,1.19,75.18,2.70,8.93,0.00,0.00,7					
18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.00,0.00,1	
88,1.51645,13.40,3.49,1.52,72.65,0.67,8.08,0.00,0.10,2	
203,1.51514,14.85,0.00,2.42,73.72,0.00,8.39,0.56,0.00,7					
19,1.51911,13.90,3.73,1.18,72.12,0.06,8.89,0.00,0.00,1	
89,1.51618,13.01,3.50,1.48,72.89,0.60,8.12,0.00,0.00,2	
204,1.51658,14.80,0.00,1.99,73.11,0.00,8.28,1.71,0.00,7					
20,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.00,0.07,1	
90,1.51640,12.55,3.48,1.87,73.23,0.63,8.08,0.00,0.09,2	
205,1.51617,14.95,0.00,2.27,73.30,0.00,8.71,0.67,0.00,7					
21,1.51750,12.82,3.55,1.49,72.75,0.54,8.52,0.00,0.19,1	
91,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.00,0.22,2	
206,1.51732,14.95,0.00,1.80,72.99,0.00,8.61,1.55,0.00,7					
22,1.51966,14.77,3.75,0.29,72.02,0.03,9.00,0.00,0.00,1	
92,1.51605,12.90,3.44,1.45,73.06,0.44,8.27,0.00,0.00,2	
207,1.51645,14.94,0.00,1.87,73.11,0.00,8.67,1.38,0.00,7					
23,1.51736,12.78,3.62,1.29,72.79,0.59,8.70,0.00,0.00,1	
93,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.00,0.19,2	
208,1.51831,14.39,0.00,1.82,72.86,1.41,6.47,2.88,0.00,7					
24,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.00,0.00,1	
94,1.51590,13.24,3.34,1.47,73.10,0.39,8.22,0.00,0.00,2	
209,1.51640,14.37,0.00,2.74,72.85,0.00,9.45,0.54,0.00,7					
25,1.51720,13.38,3.50,1.15,72.85,0.50,8.43,0.00,0.00,1	
95,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.00,0.00,2	
210,1.51623,14.14,0.00,2.88,72.61,0.08,9.18,1.06,0.00,7					
26,1.51764,12.98,3.54,1.21,73.00,0.65,8.53,0.00,0.00,1	
96,1.51860,13.36,3.43,1.43,72.26,0.51,8.60,0.00,0.00,2	
211,1.51685,14.92,0.00,1.99,73.06,0.00,8.40,1.59,0.00,7					
27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.00,0.00,1	
97,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.00,0.15,2	
212,1.52065,14.36,0.00,2.02,73.42,0.00,8.44,1.64,0.00,7					
28,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.00,0.00,1	
98,1.51743,12.20,3.25,1.16,73.55,0.62,8.90,0.00,0.24,2	
213,1.51651,14.38,0.00,1.94,73.61,0.00,8.48,1.57,0.00,7					
29,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.00,0.00,1	
99,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.00,0.00,2	
214,1.51711,14.23,0.00,2.08,73.36,0.00,8.62,1.67,0.00,7					
30,1.51784,13.08,3.49,1.28,72.86,0.60,8.49,0.00,0.00,1	
100,1.51811,12.96,2.96,1.43,72.92,0.60,8.79,0.14,0.00,2						
31,1.51768,12.65,3.56,1.30,73.08,0.61,8.69,0.00,0.14,1	
101,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2						
32,1.51747,12.84,3.50,1.14,73.27,0.56,8.55,0.00,0.00,1	
102,1.51730,12.35,2.72,1.63,72.87,0.70,9.23,0.00,0.00,2						
33,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1	
103,1.51820,12.62,2.76,0.83,73.81,0.35,9.42,0.00,0.20,2						
34,1.51753,12.57,3.47,1.38,73.39,0.60,8.55,0.00,0.06,1	
104,1.52725,13.80,3.15,0.66,70.57,0.08,11.64,0.00,0.00,2						
35,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.00,0.00,1	
105,1.52410,13.83,2.90,1.17,71.15,0.08,10.79,0.00,0.00,2						
61,1.51905,13.60,3.62,1.11,72.64,0.14,8.76,0.00,0.00,1	
131,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.00,0.00,2			
62,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.00,1	
132,1.52614,13.70,0.00,1.36,71.24,0.19,13.44,0.00,0.10,2			
63,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.00,0.11,1	
133,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.00,0.00,2			
64,1.52227,14.17,3.81,0.78,71.35,0.00,9.69,0.00,0.00,1	
134,1.51800,13.71,3.93,1.54,71.81,0.54,8.21,0.00,0.15,2			
65,1.52172,13.48,3.74,0.90,72.01,0.18,9.61,0.00,0.07,1	
135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.00,0.00,2			
66,1.52099,13.69,3.59,1.12,71.96,0.09,9.40,0.00,0.00,1	
136,1.51789,13.19,3.90,1.30,72.33,0.55,8.44,0.00,0.28,2			
67,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.00,0.17,1	
137,1.51806,13.00,3.80,1.08,73.07,0.56,8.38,0.00,0.12,2			
68,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.00,0.17,1	
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.00,0.00,2			
69,1.52152,13.12,3.58,0.90,72.20,0.23,9.82,0.00,0.16,1	
139,1.51674,12.79,3.52,1.54,73.36,0.66,7.90,0.00,0.00,2			
70,1.52300,13.31,3.58,0.82,71.99,0.12,10.17,0.00,0.03,1 
140,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.00,0.00,2			
141,1.51690,13.33,3.54,1.61,72.54,0.68,8.11,0.00,0.00,2			
