,0
0,230.25852966308594
1,246.69711303710938
2,332.9432373046875
3,428.6804504394531
4,512.7151489257812
5,550.5401611328125
6,434.0891418457031
7,269.5762023925781
8,164.13211059570312
9,94.2933120727539
10,91.84371948242188
11,87.07102966308594
12,83.59619140625
13,61.385765075683594
14,63.52485656738281
15,54.817527770996094
16,53.649715423583984
17,55.756797790527344
18,72.82479858398438
19,90.65069580078125
20,125.68521118164062
21,134.6116485595703
22,89.3495864868164
23,74.59052276611328
24,80.31332397460938
25,65.59689331054688
26,49.17690658569336
27,47.99043273925781
28,78.97402954101562
29,91.38192749023438
30,86.84364318847656
31,59.47760009765625
32,35.23869323730469
33,49.887332916259766
34,29.092296600341797
35,39.113258361816406
36,52.13715744018555
37,39.95322799682617
38,54.412452697753906
39,37.29588317871094
40,31.909934997558594
41,42.26477813720703
42,44.75302505493164
43,27.445924758911133
44,36.561851501464844
45,39.577392578125
46,41.67469024658203
47,29.874692916870117
48,41.190269470214844
49,31.159244537353516
50,36.44008255004883
51,36.276065826416016
52,49.99404525756836
53,50.42436981201172
54,43.7335090637207
55,44.39790344238281
56,57.114723205566406
57,32.69216537475586
58,67.38104248046875
59,47.713436126708984
60,44.029762268066406
61,43.79829025268555
62,52.492027282714844
63,40.08852005004883
64,33.07183837890625
65,45.88066101074219
66,47.97230911254883
67,74.04026794433594
68,44.063087463378906
69,35.00434494018555
70,26.179733276367188
71,30.240814208984375
72,32.32610321044922
73,52.88396453857422
74,37.321197509765625
75,32.51073455810547
76,36.82587814331055
77,56.06370544433594
78,57.93675231933594
79,32.81641387939453
80,60.74725341796875
81,46.67933654785156
82,47.347511291503906
83,49.093414306640625
84,37.060447692871094
85,55.93705368041992
86,54.2901725769043
87,42.770809173583984
88,53.584014892578125
89,35.427391052246094
90,34.77033233642578
91,46.50819396972656
92,49.6446418762207
93,41.6378173828125
94,34.57427978515625
95,40.015419006347656
96,60.17098617553711
97,20.851280212402344
98,33.27845764160156
99,50.19005584716797
100,35.675872802734375
101,52.90398025512695
102,68.5572509765625
103,57.96733093261719
104,38.91162109375
105,35.81803512573242
106,36.7906494140625
107,29.440885543823242
108,27.77279281616211
109,35.37622833251953
110,26.445072174072266
111,44.678504943847656
112,51.05299377441406
113,49.76357650756836
114,38.319358825683594
115,55.17514419555664
116,33.96678161621094
117,30.378076553344727
118,44.64800262451172
119,35.765132904052734
120,34.58716583251953
121,47.83198928833008
122,43.13237380981445
123,30.92279052734375
124,39.03374099731445
125,57.37245178222656
126,43.406341552734375
127,39.550621032714844
128,32.24256896972656
129,29.786832809448242
130,61.70411682128906
131,50.221351623535156
132,37.581878662109375
133,43.7953987121582
134,55.892333984375
135,44.38848876953125
136,39.74876022338867
137,50.53550720214844
138,56.415374755859375
139,50.01969909667969
140,60.076961517333984
141,28.327266693115234
142,35.3214111328125
143,33.01119613647461
144,46.51784133911133
145,31.070175170898438
146,34.87517547607422
147,38.05845642089844
148,28.1031494140625
149,39.34612274169922
150,42.98387908935547
151,37.83541488647461
152,36.54688262939453
153,30.84841537475586
154,41.47148132324219
155,23.750362396240234
156,33.879493713378906
157,37.205535888671875
158,30.35318374633789
159,41.62554931640625
160,46.47047424316406
161,31.738412857055664
162,52.77617263793945
163,66.30928039550781
164,33.799476623535156
165,50.451622009277344
166,48.35330581665039
167,24.071897506713867
168,28.41014862060547
169,36.391456604003906
170,34.88177490234375
171,52.033966064453125
172,45.7006721496582
173,59.131080627441406
174,40.06678009033203
175,26.869935989379883
176,22.298656463623047
177,19.634307861328125
178,24.46088409423828
179,44.084815979003906
180,45.29193878173828
181,38.93457794189453
182,48.36185073852539
183,35.3614501953125
184,32.5931282043457
185,26.53232192993164
186,41.43413162231445
187,29.608013153076172
188,48.41674041748047
189,43.858070373535156
190,33.2076530456543
191,42.617515563964844
192,45.44979476928711
193,25.69408416748047
194,34.378936767578125
195,44.13908004760742
196,28.138404846191406
197,43.301719665527344
198,24.603286743164062
199,33.075687408447266
200,21.248188018798828
201,30.68889045715332
202,42.60279846191406
203,34.85346984863281
204,38.79612731933594
205,24.677562713623047
206,23.3402099609375
207,36.64200973510742
208,16.331445693969727
209,26.532588958740234
210,24.995346069335938
211,44.88646697998047
212,18.21649169921875
213,18.411205291748047
214,19.675537109375
215,24.49994659423828
216,48.6772346496582
217,34.52136993408203
218,24.054401397705078
219,28.35026741027832
220,38.74248504638672
221,37.824974060058594
222,37.08732604980469
223,48.023704528808594
224,36.8790283203125
225,42.626773834228516
226,40.41209030151367
227,32.7194709777832
228,30.047386169433594
229,42.423648834228516
230,42.052207946777344
231,34.734703063964844
232,33.44279861450195
233,39.94142150878906
234,44.683414459228516
235,31.36932945251465
236,28.027591705322266
237,27.542665481567383
238,45.8588981628418
239,39.738067626953125
240,56.005096435546875
241,47.90434265136719
242,74.63236999511719
243,45.961769104003906
244,33.29726791381836
245,43.05546569824219
246,36.41271209716797
247,29.941396713256836
248,43.989646911621094
249,33.080142974853516
250,32.597496032714844
251,32.977909088134766
252,24.99069595336914
253,31.108476638793945
254,27.36803436279297
255,33.316307067871094
256,39.7110481262207
257,34.612754821777344
258,36.783843994140625
259,37.31749725341797
260,16.87133026123047
261,27.660533905029297
262,25.70189666748047
263,30.653369903564453
264,29.841567993164062
265,39.79108428955078
266,28.37090301513672
267,31.63555145263672
268,39.75127410888672
269,48.21630096435547
270,44.961814880371094
271,52.796470642089844
272,34.01349639892578
273,31.94614601135254
274,34.90281677246094
275,12.440389633178711
276,21.047603607177734
277,18.86199378967285
278,28.51073455810547
279,34.614418029785156
280,43.41500473022461
281,53.2877082824707
282,30.218502044677734
283,31.112144470214844
284,71.19536590576172
285,33.41543960571289
286,39.09856033325195
287,25.811351776123047
288,36.73308181762695
289,36.58179473876953
290,26.349166870117188
291,46.553401947021484
292,26.701065063476562
293,42.354610443115234
294,41.82686996459961
295,38.3846435546875
296,34.05544662475586
297,24.00295066833496
298,30.103553771972656
299,40.72621536254883
